algorithm, isolates, dead ends, degree 2, degree 3, degree 4, degree sum, cells, edges, arcs, diameter
Aldous/Broder, 0.000, 207.440, 325.020, 157.640, 23.900, 1426.000, 714.000, 713.000, 0.000, 131.870
std deviation, 0.000, 7.256, 13.324, 8.282, 4.041, 0.000, 0.000, 0.000, 0.000, 19.680
Binary Tree/Simple, 0.000, 180.040, 355.920, 178.040, 0.000, 1426.000, 714.000, 713.000, 0.000, 94.940
std deviation, 0.000, 7.243, 14.486, 7.243, 0.000, 0.000, 0.000, 0.000, 0.000, 4.454
Breadth-first search, 0.000, 58.640, 601.320, 51.440, 2.600, 1426.000, 714.000, 713.000, 0.000, 72.230
std deviation, 0.000, 10.991, 21.744, 10.749, 1.311, 0.000, 0.000, 0.000, 0.000, 7.687
Breadth-first forest/2 tasks, 0.000, 84.650, 551.330, 73.390, 4.630, 1426.000, 714.000, 713.000, 0.000, 88.740
std deviation, 0.000, 12.525, 24.243, 11.389, 2.048, 0.000, 0.000, 0.000, 0.000, 15.989
Breadth-first forest/3 tasks, 0.000, 100.760, 521.730, 84.260, 7.250, 1426.000, 714.000, 713.000, 0.000, 97.740
std deviation, 0.000, 12.554, 24.773, 12.493, 2.251, 0.000, 0.000, 0.000, 0.000, 17.518
Depth-first search, 0.000, 73.780, 569.420, 69.820, 0.980, 1426.000, 714.000, 713.000, 0.000, 376.100
std deviation, 0.000, 5.711, 11.367, 5.806, 0.883, 0.000, 0.000, 0.000, 0.000, 38.807
Depth-first forest/2 tasks, 0.000, 74.980, 567.060, 70.940, 1.020, 1426.000, 714.000, 713.000, 0.000, 329.650
std deviation, 0.000, 5.022, 9.723, 4.580, 0.836, 0.000, 0.000, 0.000, 0.000, 51.837
Depth-first forest/3 tasks, 0.000, 75.830, 565.600, 71.310, 1.260, 1426.000, 714.000, 713.000, 0.000, 299.610
std deviation, 0.000, 4.891, 9.574, 4.808, 1.036, 0.000, 0.000, 0.000, 0.000, 46.606
Eller, 0.000, 204.670, 328.910, 158.170, 22.250, 1426.000, 714.000, 713.000, 0.000, 127.460
std deviation, 0.000, 7.550, 13.896, 8.534, 4.112, 0.000, 0.000, 0.000, 0.000, 16.262
Houston, 0.000, 210.670, 319.900, 158.190, 25.240, 1426.000, 714.000, 713.000, 0.000, 129.690
std deviation, 0.000, 7.111, 13.479, 8.853, 4.015, 0.000, 0.000, 0.000, 0.000, 19.565
Hunt & Kill, 0.000, 81.630, 555.210, 74.690, 2.470, 1426.000, 714.000, 713.000, 0.000, 215.930
std deviation, 0.000, 5.085, 9.960, 5.249, 1.403, 0.000, 0.000, 0.000, 0.000, 35.636
Inwinder, 0.000, 208.790, 322.740, 158.150, 24.320, 1426.000, 714.000, 713.000, 0.000, 63.590
std deviation, 0.000, 6.306, 11.134, 7.245, 3.992, 0.000, 0.000, 0.000, 0.000, 3.564
Kruskal, 0.000, 217.160, 309.200, 160.120, 27.520, 1426.000, 714.000, 713.000, 0.000, 118.200
std deviation, 0.000, 7.363, 13.464, 8.699, 4.360, 0.000, 0.000, 0.000, 0.000, 16.340
MT Randon Walk/2 tasks, 0.000, 213.170, 314.990, 160.510, 25.330, 1426.000, 714.000, 713.000, 0.000, 133.890
std deviation, 0.000, 6.928, 12.185, 7.318, 4.045, 0.000, 0.000, 0.000, 0.000, 19.003
MT Random Walk/3 tasks, 0.000, 213.550, 314.200, 160.950, 25.300, 1426.000, 714.000, 713.000, 0.000, 135.440
std deviation, 0.000, 7.029, 12.648, 8.564, 4.531, 0.000, 0.000, 0.000, 0.000, 19.049
Outward Eller, 0.000, 204.780, 328.010, 159.640, 21.570, 1426.000, 714.000, 713.000, 0.000, 169.670
std deviation, 0.000, 6.472, 12.113, 8.264, 3.968, 0.000, 0.000, 0.000, 0.000, 15.775
Outwinder, 0.000, 197.570, 335.090, 167.110, 14.230, 1426.000, 714.000, 713.000, 0.000, 126.800
std deviation, 0.000, 7.289, 13.632, 7.367, 3.046, 0.000, 0.000, 0.000, 0.000, 6.117
Prim, 0.000, 216.980, 308.990, 161.080, 26.950, 1426.000, 714.000, 713.000, 0.000, 119.070
std deviation, 0.000, 7.347, 13.336, 8.999, 4.657, 0.000, 0.000, 0.000, 0.000, 14.649
Prim/Vertex, 0.000, 315.760, 160.050, 162.620, 75.570, 1426.000, 714.000, 713.000, 0.000, 104.790
std deviation, 0.000, 5.609, 9.923, 10.451, 5.920, 0.000, 0.000, 0.000, 0.000, 13.663
Prim/Simplified, 0.000, 196.540, 341.320, 157.740, 18.400, 1426.000, 714.000, 713.000, 0.000, 80.920
std deviation, 0.000, 7.975, 13.845, 7.820, 4.483, 0.000, 0.000, 0.000, 0.000, 11.210
Recursive Division, 0.000, 192.550, 350.000, 152.350, 19.100, 1426.000, 714.000, 713.000, 0.000, 147.820
std deviation, 0.000, 7.895, 14.577, 8.541, 3.976, 0.000, 0.000, 0.000, 0.000, 20.138
Sidewinder, 0.000, 196.740, 340.300, 159.180, 17.780, 1426.000, 714.000, 713.000, 0.000, 101.270
std deviation, 0.000, 5.902, 11.109, 7.485, 3.517, 0.000, 0.000, 0.000, 0.000, 7.585
Wilson, 0.000, 206.830, 325.930, 157.650, 23.590, 1426.000, 714.000, 713.000, 0.000, 133.340
std deviation, 0.000, 7.392, 13.425, 8.565, 4.361, 0.000, 0.000, 0.000, 0.000, 20.787
