algorithm,generations,stable,all die,k,e,v,largest,isolates,dead_ends,turns,northbound,eastbound,degree 3,degree 4
Wilson,   0.00,   1.00,   0.00,   1.00, 624.00, 625.00, 625.00,   0.00, 181.19, 175.52,  56.05,  53.87, 137.55,  20.82
stdev,   0.00,   0.00,   0.00,   0.00,   0.00,   0.00,   0.00,   0.00,   7.36,  12.95,   7.86,   8.78,   7.74,   3.83
ETC6:23/3 40% 2,  35.27,   0.71,   0.00, 522.34, 103.16, 625.00,   9.05, 494.92,  95.25,   5.71,   0.63,   0.56,  14.45,  13.48
stdev,  10.04,   0.45,   0.00,  13.53,  13.70,   0.00,   2.77,  16.99,  12.53,   3.87,   0.88,   0.79,   4.80,   3.32
ETC6:123/3 40% 2,  50.00,   0.00,   0.00, 195.82, 458.11, 625.00, 119.06, 148.04, 168.98, 140.38,  26.58,  27.05,  96.66,  17.31
stdev,   0.00,   0.00,   0.00,  20.38,  24.85,   0.00,  59.02,  16.64,  12.78,  14.36,   5.71,   5.89,  11.79,   4.64
ETC8:123/3 40% 2,  50.00,   0.00,   0.00, 250.32, 394.48, 625.00,  51.65, 185.66, 186.80, 136.01,  17.99,  16.87,  66.26,  15.41
stdev,   0.00,   0.00,   0.00,  20.82,  23.28,   0.00,  18.27,  18.10,  11.31,  12.08,   4.44,   4.47,  10.11,   4.21
ETC6:1234/3 40% 2,  50.00,   0.00,   0.00,  24.61, 718.25, 625.00, 574.72,  18.77,  32.20, 215.04,  54.33,  54.07, 244.94,   5.65
stdev,   0.00,   0.00,   0.00,   4.40,  12.08,   0.00,  39.02,   3.72,   5.53,  13.36,   9.53,   9.06,  18.14,   2.01
ETC8:1234/3 40% 2,  43.18,   0.25,   0.00,  33.29, 598.25, 625.00, 230.70,   5.95, 115.24, 387.69,  20.97,  22.13,  72.40,   0.62
stdev,  11.95,   0.43,   0.00,   4.87,   5.84,   0.00,  90.60,   2.34,   8.36,  15.43,   4.81,   5.17,   7.43,   0.78
ETC6:12345/3 40% 2,  12.15,   1.00,   0.00,   5.47, 850.45, 625.00, 619.25,   3.86,  17.19, 109.74,  26.34,  26.30, 407.33,  34.24
stdev,   2.82,   0.00,   0.00,   3.00,   9.85,   0.00,   4.09,   2.88,   6.07,  10.35,   5.35,   5.66,  14.20,   5.21
ETC8:12345/3 40% 2,  13.58,   0.86,   0.00,  12.39, 664.58, 625.00, 578.36,   4.72,  87.89, 277.92,  42.23,  42.00, 163.99,   6.25
stdev,  14.74,   0.35,   0.00,   2.85,   6.49,   0.00,  28.80,   2.05,   7.24,  13.40,   5.82,   6.12,   9.27,   2.40
ETC6:2345/3 40% 2,  25.09,   0.89,   0.00,  12.37, 842.36, 625.00, 611.63,  10.59,  23.06,  97.81,  23.00,  23.02, 416.08,  31.44
stdev,  10.97,   0.31,   0.00,   9.83,  22.40,   0.00,  11.88,   9.36,  10.27,   9.62,   4.14,   4.87,  20.13,   6.17
ETC8:2345/3 40% 2,  14.38,   0.90,   0.00,  11.60, 669.80, 625.00, 591.82,   5.15,  85.52, 268.57,  43.38,  42.64, 174.06,   5.68
stdev,  11.99,   0.30,   0.00,   3.45,   6.47,   0.00,  17.78,   2.53,   8.01,  13.15,   6.67,   6.51,  10.23,   2.15
ETC6:1234/23 40% 2,  50.00,   0.00,   0.00,   9.55, 783.38, 625.00, 605.72,   5.53,  27.80, 168.01,  40.53,  40.84, 328.96,  13.33
stdev,   0.00,   0.00,   0.00,   3.47,  13.19,   0.00,  13.68,   2.65,   6.68,  13.08,   7.56,   8.26,  19.75,   4.41
ETC8:1234/23 40% 2,  49.98,   0.01,   0.00,  28.27, 606.46, 625.00, 287.68,   5.77,  98.85, 416.23,  16.50,  16.78,  68.43,   2.44
stdev,   0.20,   0.10,   0.00,   4.47,   6.49,   0.00,  96.06,   2.51,   7.83,  14.48,   4.23,   4.34,   7.45,   1.89
