algorithm,generations,stable,all die,k,e,v,largest,isolates,dead_ends,turns,northbound,eastbound,degree 3,degree 4
Wilson,   0.00,   1.00,   0.00,   1.00, 624.00, 625.00, 625.00,   0.00, 181.67, 173.18,  54.75,  56.39, 138.35,  20.66
stdev,   0.00,   0.00,   0.00,   0.00,   0.00,   0.00,   0.00,   0.00,   7.54,  11.91,   8.15,   8.20,   6.89,   3.60
ETC6:23/3 30% 2,  31.62,   0.72,   0.00, 527.25,  98.12, 625.00,   8.30, 500.90,  91.94,   4.71,   0.34,   0.47,  13.30,  13.34
stdev,  12.20,   0.45,   0.00,  17.13,  17.25,   0.00,   2.77,  21.64,  15.55,   3.90,   0.64,   0.73,   4.55,   3.03
ETC8:23/3 30% 2,  50.00,   0.00,   0.00, 489.81, 140.78, 625.00,  20.88, 455.81,  83.16,  48.39,   8.54,   7.29,  17.28,   4.53
stdev,   0.00,   0.00,   0.00,  33.00,  34.96,   0.00,   9.50,  38.69,  18.98,  13.14,   3.36,   3.51,   7.51,   2.35
ETC6:23/3 40% 2,  36.98,   0.64,   0.00, 522.44, 102.98, 625.00,   9.13, 495.04,  95.30,   5.54,   0.61,   0.61,  14.46,  13.44
stdev,  10.66,   0.48,   0.00,  13.72,  13.71,   0.00,   3.10,  17.36,  13.59,   3.54,   0.92,   0.76,   4.35,   3.54
ETC8:23/3 40% 2,  50.00,   0.00,   0.00, 480.58, 150.80, 625.00,  20.95, 443.81,  89.70,  50.36,   8.75,   8.56,  18.72,   5.10
stdev,   0.00,   0.00,   0.00,  32.61,  34.69,   0.00,   8.83,  38.13,  17.65,  12.66,   3.54,   3.55,   7.25,   2.78
ETC6:23/3 30% 3,  30.97,   0.73,   0.00, 527.97,  97.31, 625.00,   8.66, 501.75,  91.29,   4.61,   0.44,   0.43,  13.55,  12.93
stdev,  12.29,   0.44,   0.00,  16.15,  16.21,   0.00,   2.90,  20.47,  15.06,   3.19,   0.70,   0.68,   4.75,   2.94
ETC8:23/3 30% 3,  50.00,   0.00,   0.00, 483.31, 147.83, 625.00,  19.19, 447.69,  87.32,  50.63,   7.89,   7.98,  18.62,   4.87
stdev,   0.00,   0.00,   0.00,  35.38,  37.25,   0.00,   6.53,  41.74,  20.14,  13.48,   3.53,   3.57,   7.49,   2.89
