algorithm, isolates, dead ends, degree 2, degree 3, degree 4, degree sum, cells, edges, arcs, diameter, N--S, E--W, turns, time
Aldous/Broder, 0.000, 207.860, 323.720, 158.980, 23.440, 1426.000, 714.000, 713.000, 0.000, 132.870, 61.370, 65.430, 196.920, 17908.440
std deviation, 0.000, 6.465, 11.349, 7.873, 4.419, 0.000, 0.000, 0.000, 0.000, 18.885, 7.582, 8.697, 11.092, 5435.300
DFS, 0.000, 74.190, 568.610, 70.210, 0.990, 1426.000, 714.000, 713.000, 0.000, 381.750, 106.780, 118.540, 343.290, 1427.000
std deviation, 0.000, 4.945, 9.705, 4.920, 1.063, 0.000, 0.000, 0.000, 0.000, 38.097, 13.315, 13.181, 12.467, 0.000
Wilson, 0.000, 207.390, 324.920, 157.990, 23.700, 1426.000, 714.000, 713.000, 0.000, 137.080, 60.660, 64.960, 199.300, 5196.920
std deviation, 0.000, 7.838, 13.868, 7.167, 3.801, 0.000, 0.000, 0.000, 0.000, 21.339, 8.755, 8.760, 11.172, 2633.032
WB/DFS shuffle, 0.000, 151.770, 420.060, 134.570, 7.600, 1426.000, 714.000, 713.000, 0.000, 187.570, 77.820, 89.460, 252.780, 34587.550
std deviation, 0.000, 7.122, 13.460, 7.086, 2.657, 0.000, 0.000, 0.000, 0.000, 30.301, 10.011, 10.670, 13.241, 2880.495
WB/DFS seq, 0.000, 38.520, 639.140, 36.160, 0.180, 1426.000, 714.000, 713.000, 0.000, 327.180, 20.810, 335.450, 282.880, 415171.630
std deviation, 0.000, 6.829, 13.593, 6.741, 0.433, 0.000, 0.000, 0.000, 0.000, 60.056, 8.417, 39.833, 27.965, 25792.435
WB/DFS seq SW, 0.000, 2.000, 712.000, 0.000, 0.000, 1426.000, 714.000, 713.000, 0.000, 713.000, 0.000, 672.000, 40.000, 384941.000
std deviation, 0.000, 0.000, 0.000, 0.000, 0.000, 0.000, 0.000, 0.000, 0.000, 0.000, 0.000, 0.000, 0.000, 0.000
WB/DFS seq center, 0.000, 3.000, 710.000, 1.000, 0.000, 1426.000, 714.000, 713.000, 0.000, 707.000, 19.000, 611.000, 80.000, 400672.000
std deviation, 0.000, 0.000, 0.000, 0.000, 0.000, 0.000, 0.000, 0.000, 0.000, 0.000, 0.000, 0.000, 0.000, 0.000
WB/BFS shuffle, 0.000, 207.250, 323.220, 161.810, 21.720, 1426.000, 714.000, 713.000, 0.000, 138.690, 68.970, 76.300, 177.950, 49143.240
std deviation, 0.000, 7.506, 13.006, 7.960, 4.591, 0.000, 0.000, 0.000, 0.000, 19.954, 8.789, 9.724, 11.015, 6097.469
WB/BFS seq, 0.000, 208.110, 322.390, 160.890, 22.610, 1426.000, 714.000, 713.000, 0.000, 140.300, 34.630, 130.480, 157.280, 49432.390
std deviation, 0.000, 8.290, 14.900, 8.835, 4.554, 0.000, 0.000, 0.000, 0.000, 18.428, 7.130, 13.800, 13.092, 5554.016
WB/BFS seq SW, 0.000, 34.000, 648.000, 32.000, 0.000, 1426.000, 714.000, 713.000, 0.000, 73.000, 646.000, 0.000, 2.000, 720651.000
std deviation, 0.000, 0.000, 0.000, 0.000, 0.000, 0.000, 0.000, 0.000, 0.000, 0.000, 0.000, 0.000, 0.000, 0.000
WB/BFS seq center, 0.000, 54.000, 618.000, 32.000, 10.000, 1426.000, 714.000, 713.000, 0.000, 54.000, 306.000, 310.000, 2.000, 699784.000
std deviation, 0.000, 0.000, 0.000, 0.000, 0.000, 0.000, 0.000, 0.000, 0.000, 0.000, 0.000, 0.000, 0.000, 0.000
WB/PQ(e) shuffle, 0.000, 202.600, 331.810, 158.580, 21.010, 1426.000, 714.000, 713.000, 0.000, 145.660, 68.210, 73.500, 190.100, 40985.530
std deviation, 0.000, 6.524, 11.790, 7.858, 4.100, 0.000, 0.000, 0.000, 0.000, 18.818, 9.798, 8.993, 11.493, 2969.059
WB/PQ(e) seq, 0.000, 201.800, 333.350, 157.900, 20.950, 1426.000, 714.000, 713.000, 0.000, 146.270, 76.330, 67.650, 189.370, 44141.050
std deviation, 0.000, 7.287, 13.902, 9.460, 4.302, 0.000, 0.000, 0.000, 0.000, 22.976, 9.345, 8.803, 11.088, 4332.134
WB/PQ(e) seq SW, 0.000, 203.670, 329.920, 159.150, 21.260, 1426.000, 714.000, 713.000, 0.000, 153.350, 58.680, 88.140, 183.100, 335532.490
std deviation, 0.000, 7.280, 12.505, 7.706, 4.547, 0.000, 0.000, 0.000, 0.000, 22.199, 10.128, 12.340, 11.025, 37384.541
WB/PQ(e) seq center, 0.000, 205.320, 327.770, 158.500, 22.410, 1426.000, 714.000, 713.000, 0.000, 155.840, 66.780, 79.770, 181.220, 199549.820
std deviation, 0.000, 7.956, 14.533, 8.574, 4.172, 0.000, 0.000, 0.000, 0.000, 22.852, 9.123, 9.648, 11.614, 32042.860
WB/PQ(v) shuffle, 0.000, 203.020, 331.040, 158.860, 21.080, 1426.000, 714.000, 713.000, 0.000, 148.430, 67.500, 75.000, 188.540, 40911.550
std deviation, 0.000, 7.774, 14.127, 8.482, 4.230, 0.000, 0.000, 0.000, 0.000, 21.636, 8.786, 7.604, 13.095, 3175.821
WB/PQ(v) seq, 0.000, 201.120, 335.500, 155.640, 21.740, 1426.000, 714.000, 713.000, 0.000, 148.150, 77.010, 68.190, 190.300, 43890.520
std deviation, 0.000, 5.910, 10.533, 7.627, 4.163, 0.000, 0.000, 0.000, 0.000, 21.440, 9.825, 7.373, 10.628, 3793.427
WB/PQ(v) seq SW, 0.000, 204.280, 329.170, 158.820, 21.730, 1426.000, 714.000, 713.000, 0.000, 157.380, 56.860, 88.790, 183.520, 336150.320
std deviation, 0.000, 7.591, 13.313, 7.730, 4.296, 0.000, 0.000, 0.000, 0.000, 20.407, 10.126, 12.366, 11.944, 40212.853
WB/PQ(v) seq center, 0.000, 205.360, 328.060, 157.800, 22.780, 1426.000, 714.000, 713.000, 0.000, 154.490, 66.820, 79.880, 181.360, 200287.150
std deviation, 0.000, 6.666, 12.594, 8.002, 3.593, 0.000, 0.000, 0.000, 0.000, 21.939, 9.653, 9.829, 11.032, 32832.311
WB/PQ(a) shuffle, 0.000, 220.330, 302.180, 164.650, 26.840, 1426.000, 714.000, 713.000, 0.000, 138.720, 62.310, 68.560, 171.310, 79233.160
std deviation, 0.000, 6.651, 11.917, 7.905, 4.211, 0.000, 0.000, 0.000, 0.000, 21.081, 8.586, 9.197, 11.629, 7635.615
WB/PQ(a) seq, 0.000, 221.750, 299.790, 165.170, 27.290, 1426.000, 714.000, 713.000, 0.000, 137.600, 67.280, 62.200, 170.310, 82608.220
std deviation, 0.000, 8.040, 13.517, 8.318, 5.177, 0.000, 0.000, 0.000, 0.000, 20.480, 8.472, 8.327, 11.245, 8553.008
WB/PQ(a) seq SW, 0.000, 314.240, 160.380, 166.520, 72.860, 1426.000, 714.000, 713.000, 0.000, 105.190, 36.050, 41.180, 83.150, 742263.860
std deviation, 0.000, 6.014, 10.407, 10.176, 5.881, 0.000, 0.000, 0.000, 0.000, 15.071, 5.912, 6.450, 8.460, 22728.953
WB/PQ(a) seq center, 0.000, 310.140, 166.910, 165.760, 71.190, 1426.000, 714.000, 713.000, 0.000, 107.660, 37.520, 42.570, 86.820, 662712.140
std deviation, 0.000, 7.525, 11.664, 8.332, 5.866, 0.000, 0.000, 0.000, 0.000, 17.312, 5.878, 6.634, 9.243, 79421.521
