algorithm, isolates, dead ends, degree 2, degree 3, degree 4, degree sum, cells, edges, arcs, diameter, N--S, E--W, turns
DFS, 0.000, 170.500, 1344.590, 163.320, 2.590, 3360.000, 1681.000, 1680.000, 0.000, 795.940, 263.510, 261.050, 820.030
std deviation, 0.000, 7.290, 14.286, 7.221, 1.582, 0.000, 0.000, 0.000, 0.000, 86.468, 18.295, 21.822, 19.966
BFS, 0.000, 171.200, 1343.240, 163.920, 2.640, 3360.000, 1681.000, 1680.000, 0.000, 788.050, 262.270, 261.050, 819.920
std deviation, 0.000, 6.989, 14.080, 7.655, 1.513, 0.000, 0.000, 0.000, 0.000, 86.530, 19.937, 20.094, 20.328
Aldous/Broder, 0.000, 489.500, 760.740, 374.020, 56.740, 3360.000, 1681.000, 1680.000, 0.000, 233.910, 147.170, 147.080, 466.490
std deviation, 0.000, 10.409, 18.111, 10.943, 6.240, 0.000, 0.000, 0.000, 0.000, 31.067, 11.939, 13.539, 17.034
Wilson, 0.000, 490.880, 758.650, 374.060, 57.410, 3360.000, 1681.000, 1680.000, 0.000, 234.820, 145.730, 147.460, 465.460
std deviation, 0.000, 12.722, 22.143, 11.750, 6.665, 0.000, 0.000, 0.000, 0.000, 34.773, 13.667, 13.400, 19.168
SBT E/N p=0.25, 0.000, 325.670, 1031.660, 323.670, 0.000, 3360.000, 1681.000, 1680.000, 0.000, 135.750, 36.820, 692.740, 302.100
std deviation, 0.000, 11.436, 22.872, 11.436, 0.000, 0.000, 0.000, 0.000, 0.000, 3.345, 6.508, 33.143, 16.198
SBT E/N p=0.5, 0.000, 419.820, 843.360, 417.820, 0.000, 3360.000, 1681.000, 1680.000, 0.000, 154.070, 220.460, 218.620, 404.280
std deviation, 0.000, 10.117, 20.233, 10.117, 0.000, 0.000, 0.000, 0.000, 0.000, 3.816, 18.060, 17.514, 17.553
SBT E/N p=0.75, 0.000, 325.140, 1032.720, 323.140, 0.000, 3360.000, 1681.000, 1680.000, 0.000, 135.370, 691.740, 36.690, 304.290
std deviation, 0.000, 12.069, 24.138, 12.069, 0.000, 0.000, 0.000, 0.000, 0.000, 3.638, 34.022, 6.826, 15.933
GBT/DFS, 0.000, 701.590, 279.820, 699.590, 0.000, 3360.000, 1681.000, 1680.000, 0.000, 522.370, 53.820, 54.860, 171.140
std deviation, 0.000, 5.376, 10.752, 5.376, 0.000, 0.000, 0.000, 0.000, 0.000, 63.696, 6.152, 5.797, 10.609
GBT/DFS rand=N, 0.000, 762.390, 158.220, 760.390, 0.000, 3360.000, 1681.000, 1680.000, 0.000, 855.330, 28.530, 22.480, 107.210
